COLLISION_ID,Y,M,D,HH,MM,BOROUGH,LATITUDE,LONGITUDE,TRAFFIC STREET,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,DAY OF WEEK
4206362,2019,9,14,23,30,BRONX,40.8733,-73.853645,EAST GUN HILL ROAD,1,0,Saturday
4210065,2019,9,14,2,30,BROOKLYN,40.689445,-73.95513,BEDFORD AVENUE,0,0,Saturday
4208276,2019,9,16,13,0,BRONX,40.878643,-73.871605,EAST GUN HILL ROAD,0,0,Monday
4207915,2019,9,16,23,30,MANHATTAN,40.83718,-73.942604,WEST 162 STREET,1,0,Monday
4207342,2019,9,16,19,15,BROOKLYN,40.634483,-73.91886,RALPH AVENUE,0,0,Monday
4208077,2019,9,16,19,15,QUEENS,40.596104,-73.760414,SEAGIRT BOULEVARD,0,0,Monday
4209412,2019,9,16,15,0,BRONX,40.875492,-73.86052,EAST GUN HILL ROAD,0,0,Monday
4208094,2019,9,17,7,45,QUEENS,40.596325,-73.76673,SEAGIRT BOULEVARD,0,0,Tuesday
4209403,2019,9,17,8,15,BRONX,40.877796,-73.86806,EAST GUN HILL ROAD,0,0,Tuesday
4208256,2019,9,17,8,45,BROOKLYN,40.676132,-73.921906,RALPH AVENUE,0,0,Tuesday
4210498,2019,9,17,20,45,BROOKLYN,40.61763,-73.94129,AVENUE N,0,0,Tuesday
4208091,2019,9,18,8,0,BROOKLYN,40.616035,-73.955795,AVENUE N,0,0,Wednesday
4209749,2019,9,20,8,30,BRONX,40.817574,-73.90359,EAST 156 STREET,2,0,Friday
4210951,2019,9,20,18,30,QUEENS,40.595985,-73.763,SEAGIRT BOULEVARD,3,0,Friday
4210715,2019,9,20,20,15,BRONX,40.878853,-73.87349,EAST GUN HILL ROAD,0,0,Friday
4209507,2019,9,20,7,45,BRONX,40.879055,-73.87439,EAST GUN HILL ROAD,1,0,Friday
4209784,2019,9,21,16,0,QUEENS,40.76465,-73.823494,PARSONS BOULEVARD,0,0,Saturday
4209925,2019,9,21,16,0,QUEENS,40.736275,-73.772865,FRANCIS LEWIS BOULEVARD,0,0,Saturday
4210708,2019,9,21,18,15,MANHATTAN,40.726524,-73.99585,BROADWAY,1,0,Saturday
4212700,2019,9,21,18,30,QUEENS,40.69366,-73.85217,JAMAICA AVENUE,1,0,Saturday
4215896,2019,9,21,18,30,QUEENS,40.708855,-73.778175,JAMAICA AVENUE,1,0,Saturday
4210676,2019,9,21,14,45,BROOKLYN,40.615356,-73.976234,60 STREET,0,0,Saturday
4209694,2019,9,21,12,45,QUEENS,40.718605,-73.813774,UNION TURNPIKE,0,0,Saturday
4210330,2019,9,21,12,0,BROOKLYN,40.676018,-73.89398,ATLANTIC AVENUE,0,0,Saturday
4210309,2019,9,21,19,45,BROOKLYN,40.677155,-73.88773,ATLANTIC AVENUE,1,0,Saturday
4212037,2019,9,21,22,30,BROOKLYN,40.684,-73.95031,NOSTRAND AVENUE,0,0,Saturday
4209880,2019,9,21,13,45,MANHATTAN,40.825134,-73.95141,BROADWAY,1,0,Saturday
4209854,2019,9,21,13,30,QUEENS,40.725704,-73.74032,SPRINGFIELD BOULEVARD,0,0,Saturday
4210272,2019,9,21,13,45,BROOKLYN,40.67974,-73.87839,ATLANTIC AVENUE,0,0,Saturday
4210628,2019,9,21,13,45,BRONX,40.87831,-73.870155,EAST GUN HILL ROAD,1,0,Saturday
4209956,2019,9,21,21,15,QUEENS,40.70921,-73.87017,80 STREET,1,0,Saturday
4210266,2019,9,21,17,45,BROOKLYN,40.673275,-73.86853,SUTTER AVENUE,1,0,Saturday
4210185,2019,9,21,15,0,QUEENS,40.725285,-73.79334,UNION TURNPIKE,0,0,Saturday
4209883,2019,9,21,0,15,BROOKLYN,40.637997,-74.02136,65 STREET,1,0,Saturday
4211506,2019,9,21,0,15,BROOKLYN,40.637997,-74.02136,65 STREET,1,0,Saturday
4210525,2019,9,21,0,15,BROOKLYN,40.675755,-73.97143,8 AVENUE,1,0,Saturday
4210964,2019,9,21,8,15,QUEENS,40.720535,-73.776215,188 STREET,1,0,Saturday
4209905,2019,9,21,20,0,QUEENS,40.76319,-73.80644,NORTHERN BOULEVARD,0,0,Saturday
4210222,2019,9,21,23,45,BROOKLYN,40.677483,-73.93033,ATLANTIC AVENUE,0,0,Saturday
4210543,2019,9,21,9,45,QUEENS,40.751976,-73.93197,NORTHERN BOULEVARD,0,0,Saturday
4210112,2019,9,21,9,45,QUEENS,40.758305,-73.85561,NORTHERN BOULEVARD,0,0,Saturday
4211121,2019,9,21,9,0,QUEENS,40.700237,-73.74805,FRANCIS LEWIS BOULEVARD,0,0,Saturday
4212021,2019,9,22,4,15,BROOKLYN,40.681805,-73.94987,NOSTRAND AVENUE,0,0,Sunday
4210183,2019,9,22,14,45,QUEENS,40.724693,-73.76481,FRANCIS LEWIS BOULEVARD,0,0,Sunday
4210199,2019,9,22,14,15,BROOKLYN,40.670326,-73.88878,SUTTER AVENUE,1,0,Sunday
4210450,2019,9,22,23,15,STATEN ISLAND,40.577946,-74.102325,HYLAN BOULEVARD,0,0,Sunday
4210642,2019,9,22,23,0,QUEENS,40.75778,-73.79202,NORTHERN BOULEVARD,1,0,Sunday
4210465,2019,9,22,0,15,MANHATTAN,40.86769,-73.92122,BROADWAY,0,0,Sunday
4212202,2019,9,22,0,30,BROOKLYN,40.67677,-73.88949,ATLANTIC AVENUE,0,0,Sunday
4210198,2019,9,22,15,15,STATEN ISLAND,40.542423,-74.14592,HYLAN BOULEVARD,4,0,Sunday
4209921,2019,9,22,3,0,QUEENS,40.707306,-73.75122,FRANCIS LEWIS BOULEVARD,0,0,Sunday
4214124,2019,9,22,16,15,BROOKLYN,40.676758,-73.917404,ATLANTIC AVENUE,0,0,Sunday
4210743,2019,9,22,12,15,MANHATTAN,40.80417,-73.966705,BROADWAY,0,0,Sunday
4211254,2019,9,22,12,30,BROOKLYN,40.609253,-73.96905,AVENUE P,0,0,Sunday
4215350,2019,9,22,10,45,BROOKLYN,40.6972,-73.952934,NOSTRAND AVENUE,1,0,Sunday
4210523,2019,9,22,18,0,QUEENS,40.780148,-73.84603,COLLEGE POINT BOULEVARD,1,0,Sunday
4213210,2019,9,22,18,15,STATEN ISLAND,40.557854,-74.12671,HYLAN BOULEVARD,0,0,Sunday
4210630,2019,9,22,18,15,QUEENS,40.744026,-73.717636,UNION TURNPIKE,0,0,Sunday
4210524,2019,9,22,20,30,QUEENS,40.763958,-73.82814,NORTHERN BOULEVARD,0,0,Sunday
4210467,2019,9,22,20,30,MANHATTAN,40.867012,-73.92312,BROADWAY,0,0,Sunday
4210739,2019,9,22,20,0,BRONX,40.881073,-73.878494,EAST GUN HILL ROAD,1,0,Sunday
4210362,2019,9,22,19,45,QUEENS,40.73535,-73.78375,188 STREET,0,0,Sunday
4210409,2019,9,22,19,0,QUEENS,40.745617,-73.75496,SPRINGFIELD BOULEVARD,0,0,Sunday
4210555,2019,9,22,17,30,MANHATTAN,40.783844,-73.979996,BROADWAY,0,0,Sunday
4210214,2019,9,22,17,30,QUEENS,40.7642,-73.788086,FRANCIS LEWIS BOULEVARD,0,0,Sunday
4211638,2019,9,22,8,15,BROOKLYN,40.624977,-73.96326,AVENUE J,1,0,Sunday
4209940,2019,9,22,5,0,QUEENS,40.732864,-73.76371,UNION TURNPIKE,0,0,Sunday
4210197,2019,9,22,2,30,STATEN ISLAND,40.57969,-74.100395,HYLAN BOULEVARD,1,0,Sunday
4214496,2019,9,22,22,0,BROOKLYN,40.670116,-73.92248,RALPH AVENUE,1,0,Sunday
4216203,2019,9,22,22,30,QUEENS,40.756298,-73.89893,32 AVENUE,1,0,Sunday
4210431,2019,9,22,1,0,STATEN ISLAND,40.576504,-74.1037,HYLAN BOULEVARD,1,0,Sunday
4212001,2019,9,22,1,0,STATEN ISLAND,40.61965,-74.09969,VICTORY BOULEVARD,0,0,Sunday
4209965,2019,9,22,1,0,QUEENS,40.705376,-73.868614,80 STREET,0,0,Sunday
4210116,2019,9,22,1,0,BROOKLYN,40.63032,-74.0223,5 AVENUE,1,0,Sunday
4213494,2019,9,23,19,15,MANHATTAN,40.854977,-73.92779,AUDUBON AVENUE,1,0,Monday
4211157,2019,9,23,19,15,QUEENS,40.753326,-73.78054,FRANCIS LEWIS BOULEVARD,1,0,Monday
4210869,2019,9,23,8,30,QUEENS,40.711823,-73.83612,UNION TURNPIKE,0,0,Monday
4210950,2019,9,23,8,30,QUEENS,40.713104,-73.83375,UNION TURNPIKE,0,0,Monday
4211190,2019,9,23,8,30,STATEN ISLAND,40.54101,-74.14711,HYLAN BOULEVARD,0,0,Monday
4211031,2019,9,23,8,15,QUEENS,40.736275,-73.772865,FRANCIS LEWIS BOULEVARD,0,0,Monday
4211629,2019,9,23,9,45,BROOKLYN,40.645027,-73.91998,RALPH AVENUE,2,0,Monday
4211152,2019,9,23,9,0,QUEENS,40.716,-73.74546,JAMAICA AVENUE,0,0,Monday
4211328,2019,9,23,11,0,MANHATTAN,40.815117,-73.95871,BROADWAY,0,0,Monday
4211046,2019,9,23,13,0,BROOKLYN,40.689144,-73.99071,ATLANTIC AVENUE,0,0,Monday
4212362,2019,9,23,13,0,QUEENS,40.71991,-73.809044,PARSONS BOULEVARD,0,0,Monday
4211373,2019,9,23,14,45,BROOKLYN,40.66757,-73.97772,8 AVENUE,0,0,Monday
4211187,2019,9,23,14,0,STATEN ISLAND,40.581814,-74.097725,HYLAN BOULEVARD,2,0,Monday
4211372,2019,9,23,10,0,BROOKLYN,40.682415,-73.97065,ATLANTIC AVENUE,0,0,Monday
4210970,2019,9,23,10,0,QUEENS,40.769283,-73.82445,32 AVENUE,0,0,Monday
4211720,2019,9,23,20,30,QUEENS,40.75159,-73.88655,80 STREET,0,0,Monday
4211216,2019,9,23,20,0,BROOKLYN,40.67619,-73.9081,ATLANTIC AVENUE,0,0,Monday
4210794,2019,9,23,6,45,QUEENS,40.765354,-73.81733,NORTHERN BOULEVARD,0,0,Monday
4211427,2019,9,23,6,45,STATEN ISLAND,40.610725,-74.08635,TARGEE STREET,0,0,Monday
4210978,2019,9,23,6,15,QUEENS,40.722157,-73.73034,JAMAICA AVENUE,0,0,Monday
4211392,2019,9,23,12,30,MANHATTAN,40.766285,-73.98186,BROADWAY,0,0,Monday
4236999,2019,9,23,12,0,MANHATTAN,40.707752,-74.01171,BROADWAY,0,0,Monday
4211258,2019,9,23,12,0,QUEENS,40.752243,-73.70212,UNION TURNPIKE,0,0,Monday
4211067,2019,9,23,12,30,BROOKLYN,40.624104,-73.9177,RALPH AVENUE,0,0,Monday
4213566,2019,9,23,21,15,BROOKLYN,40.639076,-73.90337,AVENUE J,3,0,Monday
4211010,2019,9,23,7,45,QUEENS,40.66492,-73.73504,FRANCIS LEWIS BOULEVARD,0,0,Monday
4211572,2019,9,23,7,0,QUEENS,40.765057,-73.81293,NORTHERN BOULEVARD,0,0,Monday
4212264,2019,9,23,7,45,BROOKLYN,40.615826,-73.9577,AVENUE N,0,0,Monday
4211081,2019,9,23,15,0,QUEENS,40.758595,-73.87452,32 AVENUE,1,0,Monday
4211500,2019,9,23,15,45,BROOKLYN,40.621483,-73.9252,AVENUE M,1,0,Monday
4211289,2019,9,23,18,15,QUEENS,40.763958,-73.82814,NORTHERN BOULEVARD,0,0,Monday
4213496,2019,9,23,18,45,MANHATTAN,40.87122,-73.91416,BROADWAY,0,0,Monday
4211718,2019,9,23,18,45,MANHATTAN,40.848392,-73.937675,BROADWAY,0,0,Monday
4211188,2019,9,23,16,30,STATEN ISLAND,40.60707,-74.09241,RICHMOND ROAD,2,0,Monday
4211415,2019,9,23,16,45,STATEN ISLAND,40.61816,-74.08492,TARGEE STREET,3,0,Monday
4211179,2019,9,23,17,0,QUEENS,40.77532,-73.77521,BELL BOULEVARD,0,0,Monday
4211154,2019,9,23,17,0,QUEENS,40.737926,-73.81485,KISSENA BOULEVARD,0,0,Monday
4211133,2019,9,23,17,30,BROOKLYN,40.667095,-73.92276,RALPH AVENUE,1,0,Monday
4211269,2019,9,23,23,0,QUEENS,40.763424,-73.83016,NORTHERN BOULEVARD,2,0,Monday
4211998,2019,9,24,23,45,BROOKLYN,40.5983,-73.94149,NOSTRAND AVENUE,0,0,Tuesday
4212153,2019,9,24,23,0,MANHATTAN,40.835308,-73.94398,BROADWAY,0,0,Tuesday
4211503,2019,9,24,8,30,QUEENS,40.72717,-73.8109,PARSONS BOULEVARD,1,0,Tuesday
4212208,2019,9,24,8,45,STATEN ISLAND,40.617516,-74.068665,BAY STREET,1,0,Tuesday
4212117,2019,9,24,22,45,MANHATTAN,40.795326,-73.971306,BROADWAY,1,0,Tuesday
4212913,2019,9,24,9,15,QUEENS,40.752403,-73.92442,NORTHERN BOULEVARD,0,0,Tuesday
4212210,2019,9,24,9,15,BROOKLYN,40.67657,-73.9008,EAST NEW YORK AVENUE,0,0,Tuesday
4211782,2019,9,24,9,0,BROOKLYN,40.62051,-73.99248,65 STREET,0,0,Tuesday
4212084,2019,9,24,16,30,BROOKLYN,40.67641,-74.00104,CLINTON STREET,0,0,Tuesday
4211906,2019,9,24,16,30,BROOKLYN,40.686085,-73.982666,ATLANTIC AVENUE,0,0,Tuesday
4212549,2019,9,24,16,45,STATEN ISLAND,40.566494,-74.11377,HYLAN BOULEVARD,1,0,Tuesday
4212041,2019,9,24,16,15,BROOKLYN,40.69119,-73.9978,ATLANTIC AVENUE,0,0,Tuesday
4211959,2019,9,24,14,45,BROOKLYN,40.657093,-73.95026,NOSTRAND AVENUE,1,0,Tuesday
4211992,2019,9,24,14,15,BROOKLYN,40.609985,-73.96239,AVENUE P,0,0,Tuesday
4212200,2019,9,24,14,15,BROOKLYN,40.67689,-73.900055,EAST NEW YORK AVENUE,1,0,Tuesday
4212555,2019,9,24,14,0,BROOKLYN,40.688614,-73.989174,ATLANTIC AVENUE,0,0,Tuesday
4211712,2019,9,24,7,30,BROOKLYN,40.692154,-73.99345,CLINTON STREET,0,0,Tuesday
4211949,2019,9,24,21,15,QUEENS,40.757755,-73.79304,NORTHERN BOULEVARD,0,0,Tuesday
4253896,2019,9,24,21,45,BROOKLYN,40.667706,-73.90636,SUTTER AVENUE,0,0,Tuesday
4213219,2019,9,24,2,45,BROOKLYN,40.677174,-73.924774,ATLANTIC AVENUE,1,0,Tuesday
4212132,2019,9,24,11,30,QUEENS,40.774235,-73.79164,26 AVENUE,0,0,Tuesday
4212082,2019,9,24,11,45,BROOKLYN,40.6795,-73.99729,COURT STREET,0,0,Tuesday
4212127,2019,9,24,20,30,MANHATTAN,40.78028,-73.98153,BROADWAY,0,0,Tuesday
4212410,2019,9,24,20,30,MANHATTAN,40.71137,-74.00862,BROADWAY,1,0,Tuesday
4211456,2019,9,24,6,45,QUEENS,40.741386,-73.72489,UNION TURNPIKE,1,0,Tuesday
4215560,2019,9,24,17,15,MANHATTAN,40.817543,-73.95694,BROADWAY,0,0,Tuesday
4211864,2019,9,24,18,0,QUEENS,40.726315,-73.789986,UNION TURNPIKE,1,0,Tuesday
4212096,2019,9,24,18,15,BROOKLYN,40.67285,-73.97339,8 AVENUE,0,0,Tuesday
4212092,2019,9,24,10,15,QUEENS,40.765358,-73.74429,NORTHERN BOULEVARD,0,0,Tuesday
4211785,2019,9,24,10,15,BROOKLYN,40.641113,-74.003716,8 AVENUE,0,0,Tuesday
4212704,2019,9,24,10,0,QUEENS,40.69366,-73.85217,JAMAICA AVENUE,1,0,Tuesday
4212421,2019,9,24,10,45,MANHATTAN,40.705868,-74.01326,BROADWAY,1,0,Tuesday
4212610,2019,9,25,8,15,QUEENS,40.763424,-73.83016,NORTHERN BOULEVARD,0,0,Wednesday
4212322,2019,9,25,8,30,QUEENS,40.742367,-73.722,UNION TURNPIKE,0,0,Wednesday
4212336,2019,9,25,8,30,QUEENS,40.708508,-73.84858,UNION TURNPIKE,0,0,Wednesday
4212226,2019,9,25,8,15,BROOKLYN,40.681686,-73.871574,ATLANTIC AVENUE,1,0,Wednesday
4212761,2019,9,25,14,45,QUEENS,40.69827,-73.834854,JAMAICA AVENUE,0,0,Wednesday
4212510,2019,9,25,14,30,BROOKLYN,40.638153,-74.01397,60 STREET,0,0,Wednesday
4212449,2019,9,25,9,45,BROOKLYN,40.615185,-73.98367,65 STREET,0,0,Wednesday
4212318,2019,9,25,9,0,QUEENS,40.768932,-73.79191,FRANCIS LEWIS BOULEVARD,1,0,Wednesday
4212556,2019,9,25,17,15,BROOKLYN,40.688614,-73.989174,ATLANTIC AVENUE,0,0,Wednesday
4212746,2019,9,25,17,0,BROOKLYN,40.67968,-73.97826,5 AVENUE,0,0,Wednesday
4212620,2019,9,25,17,15,QUEENS,40.75763,-73.82799,KISSENA BOULEVARD,0,0,Wednesday
4215185,2019,9,25,23,45,MANHATTAN,40.873062,-73.91177,BROADWAY,0,0,Wednesday
4212521,2019,9,25,18,0,QUEENS,40.757824,-73.79032,NORTHERN BOULEVARD,0,0,Wednesday
4213452,2019,9,25,19,45,MANHATTAN,40.842915,-73.9366,AUDUBON AVENUE,0,0,Wednesday
4212498,2019,9,25,19,15,QUEENS,40.717674,-73.81713,UNION TURNPIKE,0,0,Wednesday
4214107,2019,9,25,19,45,BROOKLYN,40.636574,-74.019196,5 AVENUE,1,0,Wednesday
4212766,2019,9,25,19,45,MANHATTAN,40.828346,-73.94906,BROADWAY,1,0,Wednesday
4213003,2019,9,25,19,45,QUEENS,40.713287,-73.87163,80 STREET,0,0,Wednesday
4212365,2019,9,25,6,45,BROOKLYN,40.63063,-74.00923,65 STREET,2,0,Wednesday
4212443,2019,9,25,10,45,QUEENS,40.708935,-73.77721,JAMAICA AVENUE,1,0,Wednesday
4212239,2019,9,25,10,0,QUEENS,40.756897,-73.893196,32 AVENUE,0,0,Wednesday
4216350,2019,9,25,10,15,BROOKLYN,40.623592,-73.97581,AVENUE J,0,0,Wednesday
4212604,2019,9,25,10,0,QUEENS,40.778603,-73.846115,COLLEGE POINT BOULEVARD,0,0,Wednesday
4212731,2019,9,25,10,0,QUEENS,40.71444,-73.83127,UNION TURNPIKE,0,0,Wednesday
4213416,2019,9,25,10,30,STATEN ISLAND,40.625603,-74.075035,BAY STREET,1,0,Wednesday
4214149,2019,9,25,10,15,BROOKLYN,40.677174,-73.924774,ATLANTIC AVENUE,0,0,Wednesday
4212552,2019,9,25,16,45,STATEN ISLAND,40.606163,-74.09093,TARGEE STREET,0,0,Wednesday
4212848,2019,9,25,16,0,BROOKLYN,40.673298,-74.00835,COLUMBIA STREET,0,0,Wednesday
4213004,2019,9,25,21,0,QUEENS,40.725006,-73.8792,80 STREET,0,0,Wednesday
4212558,2019,9,25,21,0,QUEENS,40.7642,-73.788086,FRANCIS LEWIS BOULEVARD,0,0,Wednesday
4212358,2019,9,25,13,15,BROOKLYN,40.626984,-73.944954,AVENUE J,0,0,Wednesday
4212517,2019,9,25,0,0,QUEENS,40.74016,-73.89525,45 AVENUE,0,0,Wednesday
4212617,2019,9,25,0,0,QUEENS,40.781693,-73.82225,PARSONS BOULEVARD,0,0,Wednesday
4212545,2019,9,25,7,15,STATEN ISLAND,40.598557,-74.081764,HYLAN BOULEVARD,0,0,Wednesday
4212314,2019,9,25,7,15,QUEENS,40.66645,-73.75764,SPRINGFIELD BOULEVARD,0,0,Wednesday
4212605,2019,9,25,7,30,QUEENS,40.78168,-73.84595,COLLEGE POINT BOULEVARD,0,0,Wednesday
4212542,2019,9,25,7,0,STATEN ISLAND,40.57917,-74.10106,HYLAN BOULEVARD,1,0,Wednesday
4212136,2019,9,25,7,0,QUEENS,40.765358,-73.74429,NORTHERN BOULEVARD,0,0,Wednesday
4214627,2019,9,25,20,30,BROOKLYN,40.645027,-73.91998,RALPH AVENUE,0,0,Wednesday
4222190,2019,9,25,20,15,MANHATTAN,40.79147,-73.97411,BROADWAY,0,0,Wednesday
4212356,2019,9,25,11,15,QUEENS,40.722057,-73.80279,UNION TURNPIKE,0,0,Wednesday
4214125,2019,9,25,5,0,BROOKLYN,40.676838,-73.91831,ATLANTIC AVENUE,0,0,Wednesday
4214986,2019,9,25,5,45,MANHATTAN,40.817543,-73.95694,BROADWAY,1,0,Wednesday
4216428,2019,9,26,16,30,MANHATTAN,40.719395,-74.00189,BROADWAY,0,0,Thursday
4213753,2019,9,26,16,45,BROOKLYN,40.63347,-74.02102,5 AVENUE,0,0,Thursday
4213316,2019,9,26,16,0,QUEENS,40.749676,-73.826744,138 STREET,0,0,Thursday
4213176,2019,9,26,16,15,QUEENS,40.75796,-73.78567,NORTHERN BOULEVARD,0,0,Thursday
4213652,2019,9,26,16,0,QUEENS,40.7201,-73.79038,UTOPIA PARKWAY,0,0,Thursday
4214616,2019,9,26,13,15,BROOKLYN,40.644855,-73.92286,EAST 57 STREET,0,0,Thursday
4213136,2019,9,26,13,15,QUEENS,40.704082,-73.81641,138 STREET,0,0,Thursday
4212868,2019,9,26,7,30,QUEENS,40.766552,-73.77255,BELL BOULEVARD,0,0,Thursday
4212974,2019,9,26,7,45,QUEENS,40.66645,-73.75764,SPRINGFIELD BOULEVARD,0,0,Thursday
4212995,2019,9,26,7,0,QUEENS,40.71599,-73.87209,80 STREET,0,0,Thursday
4212819,2019,9,26,9,30,QUEENS,40.69142,-73.866516,JAMAICA AVENUE,0,0,Thursday
4213923,2019,9,26,9,15,BROOKLYN,40.653873,-74.008156,39 STREET,1,0,Thursday
4213008,2019,9,26,9,15,BROOKLYN,40.65263,-74.00618,39 STREET,0,0,Thursday
4215012,2019,9,26,9,45,BROOKLYN,40.614994,-73.965294,AVENUE N,0,0,Thursday
4213029,2019,9,26,9,15,QUEENS,40.718227,-73.81515,UNION TURNPIKE,2,0,Thursday
4216402,2019,9,26,11,15,STATEN ISLAND,40.540813,-74.224724,WOODROW ROAD,1,0,Thursday
4213030,2019,9,26,11,45,QUEENS,40.721375,-73.7903,UTOPIA PARKWAY,0,0,Thursday
4213885,2019,9,26,11,30,BROOKLYN,40.619606,-73.945526,AVENUE M,0,0,Thursday
4213212,2019,9,26,17,15,STATEN ISLAND,40.572224,-74.12139,AMBOY ROAD,1,0,Thursday
4215941,2019,9,26,17,0,BROOKLYN,40.64727,-73.99731,39 STREET,0,0,Thursday
4213505,2019,9,26,17,45,MANHATTAN,40.848938,-73.93708,BROADWAY,0,0,Thursday
4214794,2019,9,26,17,0,MANHATTAN,40.792095,-73.97366,BROADWAY,0,0,Thursday
4213254,2019,9,26,17,45,QUEENS,40.748756,-73.7087,UNION TURNPIKE,1,0,Thursday
4213321,2019,9,26,17,45,QUEENS,40.75372,-73.83283,COLLEGE POINT BOULEVARD,1,0,Thursday
4213742,2019,9,26,17,15,BROOKLYN,40.67342,-73.95017,NOSTRAND AVENUE,0,0,Thursday
4213217,2019,9,26,17,15,BROOKLYN,40.676132,-73.921906,RALPH AVENUE,1,0,Thursday
4213558,2019,9,26,17,30,BROOKLYN,40.67553,-73.90163,ATLANTIC AVENUE,1,0,Thursday
4213246,2019,9,26,12,0,QUEENS,40.711823,-73.83612,UNION TURNPIKE,1,0,Thursday
4213301,2019,9,26,12,30,QUEENS,40.749676,-73.826744,138 STREET,1,0,Thursday
4213341,2019,9,26,14,45,BROOKLYN,40.587307,-73.93938,NOSTRAND AVENUE,0,0,Thursday
4213389,2019,9,26,14,15,BROOKLYN,40.673836,-74.0023,CLINTON STREET,0,0,Thursday
4213228,2019,9,26,14,45,BROOKLYN,40.634617,-74.02353,BAY RIDGE AVENUE,0,0,Thursday
4213320,2019,9,26,14,15,QUEENS,40.75194,-73.832306,COLLEGE POINT BOULEVARD,0,0,Thursday
4220638,2019,9,26,14,0,BROOKLYN,40.663227,-73.93159,EAST NEW YORK AVENUE,0,0,Thursday
4213113,2019,9,26,14,45,QUEENS,40.66774,-73.757,SPRINGFIELD BOULEVARD,0,0,Thursday
4215015,2019,9,26,8,45,BROOKLYN,40.628994,-73.98364,50 STREET,0,0,Thursday
4217637,2019,9,26,8,30,BROOKLYN,40.677338,-73.927536,ATLANTIC AVENUE,1,0,Thursday
4212812,2019,9,26,8,0,BROOKLYN,40.67098,-73.884384,SUTTER AVENUE,0,0,Thursday
4213446,2019,9,26,18,0,MANHATTAN,40.84544,-73.93869,BROADWAY,0,0,Thursday
4214652,2019,9,26,20,0,BROOKLYN,40.64513,-73.948975,NOSTRAND AVENUE,0,0,Thursday
4214151,2019,9,26,20,30,QUEENS,40.682404,-73.75181,SPRINGFIELD BOULEVARD,0,0,Thursday
4214274,2019,9,26,20,0,BROOKLYN,40.68532,-73.98071,ATLANTIC AVENUE,0,0,Thursday
4214774,2019,9,26,10,30,MANHATTAN,40.80417,-73.966705,BROADWAY,0,0,Thursday
4213709,2019,9,26,21,45,STATEN ISLAND,40.610344,-74.14603,VICTORY BOULEVARD,1,0,Thursday
4218768,2019,9,26,21,15,MANHATTAN,40.795963,-73.97084,BROADWAY,3,0,Thursday
4213963,2019,9,26,15,45,QUEENS,40.703342,-73.80021,JAMAICA AVENUE,1,0,Thursday
4213208,2019,9,26,15,30,STATEN ISLAND,40.59075,-74.08837,HYLAN BOULEVARD,0,0,Thursday
